PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT Freq%","TOV Freq%","SF Freq%","And One Freq%","Score Freq%",Percentile
Jordan Poole,WAS,68,6.2,30.7,0.98,6.1,2.0,4.7,42.8,53.3,10.1,15.3,8.5,0.9,41.5,76.9
DeMar DeRozan,SAC,77,5.1,24.5,1.06,5.4,2.0,4.0,50.5,51.8,15.9,8.7,14.7,3.6,52.2,91.7
Austin Reaves,LAL,73,5.6,30.1,1.00,5.6,1.8,3.9,46.5,54.6,16.1,19.3,14.4,4.1,43.4,83.4
Coby White,CHI,74,5.5,28.6,0.91,5.0,1.8,4.1,43.4,48.8,10.3,17.2,9.1,2.2,40.5,64.4
Franz Wagner,ORL,60,6.4,26.8,0.94,6.1,2.3,4.9,45.9,49.2,11.7,13.2,11.7,1.6,45.3,71.8
T.J. McConnell,IND,79,4.9,50.5,0.91,4.5,2.0,4.1,50.2,50.6,4.9,12.9,4.1,0.5,45.6,65.3
Stephen Curry,GSW,70,5.7,25.4,0.85,4.9,1.7,4.5,37.1,46.5,7.0,15.2,6.5,1.5,34.9,49.9
De'Aaron Fox,SAC,45,7.1,28.3,1.07,7.6,3.1,5.7,53.9,57.8,9.1,12.5,9.1,1.9,50.5,92.6
Ty Jerome,CLE,70,4.7,42.9,1.03,4.8,1.8,3.7,48.0,53.7,12.7,13.3,12.1,3.6,46.1,87.2
Keyonte George,UTA,67,5.7,31.6,0.83,4.8,1.6,4.3,36.6,45.7,9.4,16.9,7.5,1.6,35.3,43.3
Shaedon Sharpe,POR,72,4.7,25.2,0.92,4.4,1.7,4.0,41.8,47.4,8.8,10.0,7.9,2.3,41.3,67.1
Malik Monk,SAC,65,5.0,27.7,0.90,4.5,1.7,3.9,44.7,50.0,7.7,16.4,7.1,2.2,40.4,62.3
CJ McCollum,NOP,56,5.6,26.6,0.92,5.2,2.1,4.6,45.3,50.8,6.7,13.0,5.7,1.0,42.5,68.0
Collin Sexton,UTA,63,4.9,27.4,0.93,4.6,1.7,3.6,48.4,53.3,11.9,17.4,10.3,1.6,44.7,69.7
Ja Morant,MEM,50,6.9,28.5,0.83,5.8,2.2,5.0,43.0,46.2,10.4,19.1,8.7,2.3,39.4,44.8
Fred VanVleet,HOU,60,5.5,36.4,0.87,4.7,1.7,4.6,37.5,45.1,6.4,9.8,5.5,0.6,37.2,53.1
Miles Bridges,CHA,64,5.3,25.5,0.84,4.4,1.5,4.1,36.6,40.9,12.4,11.2,11.8,2.1,39.1,46.3
Kyrie Irving,DAL,50,5.2,22.7,1.07,5.5,2.0,4.2,47.1,53.1,13.2,9.7,12.8,3.5,47.7,92.0
Chris Paul,SAS,82,3.5,38.9,0.94,3.3,1.2,2.7,45.3,55.8,3.5,19.4,3.1,0.7,38.1,71.5
Desmond Bane,MEM,69,4.1,22.7,0.93,3.9,1.5,3.6,42.4,49.6,4.2,10.2,3.9,0.4,40.4,70.2
LeBron James,LAL,70,4.2,17.8,0.89,3.8,1.5,3.1,47.5,54.1,7.4,20.2,6.7,1.3,40.4,59.3
Derrick White,BOS,76,3.5,22.9,0.98,3.4,1.1,2.8,41.1,52.6,8.6,13.9,6.4,1.1,39.8,76.6
Paolo Banchero,ORL,46,6.3,24.1,0.89,5.7,2.0,5.0,40.2,46.1,13.4,12.0,12.7,3.8,40.8,59.9
Stephon Castle,SAS,81,3.9,23.7,0.81,3.1,1.0,2.7,38.2,42.7,15.1,17.0,14.4,2.6,39.1,37.4
Deni Avdija,POR,72,3.6,21.7,0.95,3.4,1.2,2.3,50.3,57.2,16.5,24.2,15.4,5.0,43.5,72.7
Scoot Henderson,POR,66,4.5,31.3,0.82,3.7,1.4,3.3,42.4,49.3,8.7,20.3,7.0,1.3,37.0,41.5
Zach LaVine,CHI,42,5.7,26.7,0.99,5.7,2.0,4.5,45.2,55.3,7.1,15.4,6.2,0.4,41.9,78.6
Josh Giddey,CHI,70,4.1,26.1,0.83,3.4,1.3,2.8,45.4,47.4,12.2,21.3,11.1,1.7,41.5,42.1
RJ Barrett,TOR,58,4.7,21.3,0.86,4.1,1.6,3.2,49.2,50.3,15.3,20.4,15.3,2.6,43.8,50.4
Bennedict Mathurin,IND,72,3.7,23.0,0.89,3.2,1.1,2.7,40.6,44.8,14.8,13.3,13.7,1.1,43.0,58.5
Norman Powell,LAC,60,3.7,18.8,1.05,3.9,1.4,2.9,48.3,54.6,10.9,10.9,10.5,0.9,47.7,90.2
Scottie Barnes,TOR,65,4.2,20.0,0.84,3.6,1.4,3.2,44.2,46.1,11.6,16.3,10.5,2.5,41.7,45.1
Bub Carrington,WAS,82,3.3,29.5,0.85,2.8,1.1,2.7,41.7,48.9,3.3,15.5,2.6,1.1,36.2,49.0
Luka Dončić,LAL,28,8.4,30.7,0.93,7.9,2.5,5.9,41.8,51.2,15.3,17.4,14.4,2.5,41.5,69.4
Dejounte Murray,NOP,31,9.0,43.1,0.78,7.0,2.6,6.8,38.7,43.9,8.2,18.2,7.9,2.1,35.4,31.5
Luka Dončić,DAL,22,10.2,37.2,0.96,9.8,3.3,8.0,41.1,47.7,15.6,11.6,14.3,5.4,42.0,75.7
Kevin Durant,PHX,62,3.8,15.9,0.92,3.5,1.3,2.6,49.4,51.9,12.4,19.2,12.0,0.9,45.3,65.9
Jaylen Brown,BOS,63,3.9,17.4,0.86,3.4,1.2,2.9,40.9,46.4,12.6,16.6,12.1,2.4,39.7,51.6
Spencer Dinwiddie,DAL,79,2.9,26.2,0.91,2.7,0.9,2.3,40.2,46.1,13.0,13.4,13.0,3.9,39.8,63.5
Giannis Antetokounmpo,MIL,67,3.1,11.4,1.00,3.1,1.2,2.3,53.0,55.6,17.8,13.9,16.3,4.3,49.5,82.6
Cameron Payne,NYK,72,2.8,38.4,0.98,2.7,1.1,2.4,44.9,52.0,4.0,9.0,3.5,1.0,42.5,78.0
Andrew Nembhard,IND,65,3.1,28.3,0.95,3.0,1.1,2.2,50.7,53.8,12.9,17.3,10.4,1.5,46.5,74.2
Payton Pritchard,BOS,80,2.1,17.2,1.11,2.4,0.9,1.8,47.9,61.3,3.5,10.6,2.4,0.0,44.7,94.7
Jalen Suggs,ORL,35,5.8,32.1,0.91,5.3,1.9,4.3,44.3,50.0,10.4,18.3,7.9,2.5,40.6,64.1
Tyus Jones,PHX,81,2.8,28.0,0.82,2.3,1.0,2.2,42.3,46.4,3.6,15.6,2.2,0.0,37.8,39.8
Bradley Beal,PHX,53,4.1,25.1,0.85,3.4,1.3,3.1,42.0,45.4,10.2,15.8,9.3,1.4,40.5,48.4
Cam Thomas,BKN,25,7.0,30.4,1.03,7.2,2.2,5.1,43.8,51.2,17.6,13.1,16.5,3.4,45.5,87.5
Devin Vassell,SAS,64,3.1,19.3,0.91,2.8,1.2,2.6,46.4,49.1,7.1,11.7,7.1,3.0,42.6,65.6
Anthony Black,ORL,78,3.4,31.1,0.68,2.3,0.8,2.2,36.1,37.6,14.8,23.6,14.1,2.7,35.0,15.4
Mikal Bridges,NYK,82,2.1,12.9,1.00,2.1,1.0,1.8,53.1,55.8,4.0,12.5,3.4,0.0,48.3,82.6
Jose Alvarado,NOP,56,3.9,34.2,0.81,3.1,1.1,2.9,38.2,45.2,8.3,17.5,7.8,1.8,35.0,36.9
Cole Anthony,ORL,67,3.4,32.6,0.74,2.5,1.0,2.5,37.9,40.5,8.8,18.5,7.9,1.8,34.8,24.6
Nick Smith Jr.,CHA,60,3.1,27.7,0.85,2.6,1.1,2.6,42.0,47.8,1.6,13.5,1.6,0.0,37.3,48.7
Dyson Daniels,ATL,76,2.3,15.3,0.88,2.0,0.9,1.8,48.5,49.6,9.7,15.4,9.7,2.9,43.4,56.7
Russell Westbrook,DEN,75,3.2,20.2,0.64,2.0,0.8,1.9,40.6,43.7,9.3,32.1,8.4,1.7,30.0,11.0
D'Angelo Russell,BKN,29,5.9,40.1,0.88,5.2,1.6,4.3,36.5,44.8,13.5,15.3,12.4,2.9,37.1,57.1
Kawhi Leonard,LAC,37,4.3,21.4,0.93,4.0,1.7,3.7,44.9,49.6,4.4,10.1,4.4,1.3,42.1,69.1
Terry Rozier,MIA,64,3.0,25.2,0.78,2.3,0.9,2.5,37.3,41.6,4.2,11.5,3.7,0.0,35.1,31.2
Kevin Porter Jr.,MIL,30,4.6,41.5,1.06,4.9,1.7,3.3,51.5,56.6,13.7,18.0,13.7,2.9,47.5,91.4
Mike Conley,MIN,71,2.4,29.2,0.87,2.1,0.7,1.8,38.6,49.2,6.5,18.3,5.9,0.0,35.5,54.6
Bilal Coulibaly,WAS,59,3.6,25.7,0.69,2.5,0.9,2.6,36.4,38.4,12.6,20.1,11.2,3.3,33.6,16.6
Immanuel Quickley,TOR,33,4.6,27.9,0.95,4.4,1.5,3.5,41.0,48.7,13.1,12.4,11.8,2.0,42.5,73.0
Andrew Wiggins,GSW,43,4.0,23.5,0.86,3.4,1.2,3.2,36.0,41.0,13.5,8.2,12.9,3.5,38.8,50.7
Jordan Clarkson,UTA,37,4.4,25.7,0.88,3.9,1.4,3.3,42.6,49.2,9.1,17.7,6.7,1.2,39.0,57.6
Paul George,PHI,41,4.3,24.5,0.82,3.5,1.3,3.3,40.3,47.8,6.9,18.3,6.9,1.7,36.0,41.2
Dennis Schröder,BKN,23,6.5,35.9,0.95,6.2,2.5,4.9,50.9,55.8,8.1,19.5,7.4,2.7,43.6,72.4
Jamal Shead,TOR,75,2.5,29.3,0.75,1.9,0.8,1.9,40.8,44.0,7.4,21.7,7.4,4.2,33.9,26.1
Vasilije Micic,CHA,36,5.5,54.0,0.71,3.9,1.4,4.3,33.8,40.9,4.6,18.3,3.6,1.0,29.4,19.6
Isaiah Collier,UTA,71,3.1,26.6,0.63,2.0,0.7,2.0,35.0,38.9,10.9,27.6,8.6,1.8,30.3,10.4
Zach LaVine,SAC,32,4.9,24.3,0.86,4.2,1.5,3.6,41.4,51.7,7.1,21.2,7.1,2.6,35.3,52.8
Marcus Sasser,DET,57,2.4,35.8,0.98,2.3,0.9,1.9,47.2,55.2,6.0,16.4,5.2,1.5,41.8,78.3
Kevin Porter Jr.,LAC,45,3.5,29.6,0.84,2.9,1.2,2.7,43.8,47.5,7.7,15.4,7.1,0.6,39.7,45.7
Brandin Podziemski,GSW,64,2.3,19.8,0.86,2.0,0.7,1.9,38.7,45.0,10.1,10.8,8.8,1.4,39.9,52.5
Amen Thompson,HOU,69,2.2,15.8,0.84,1.8,0.7,1.6,42.0,42.4,14.7,12.7,14.0,2.0,43.3,46.0
Naji Marshall,DAL,69,1.7,13.3,1.04,1.8,0.7,1.3,53.3,53.8,15.1,11.8,14.3,4.2,52.1,89.3
Cameron Johnson,BKN,57,2.4,14.5,0.91,2.2,0.8,1.8,43.7,48.5,9.6,15.4,6.6,0.7,41.9,64.9
Jaden Ivey,DET,30,4.9,26.4,0.83,4.1,1.5,3.7,40.0,45.9,10.2,16.3,8.8,1.4,38.8,42.7
Brandon Miller,CHA,27,6.1,27.6,0.73,4.5,1.5,5.0,29.9,37.3,8.4,12.0,8.4,1.2,30.7,24.3
D'Angelo Russell,LAL,29,4.3,32.6,0.96,4.2,1.4,3.3,42.7,48.4,12.7,11.9,11.1,0.8,44.4,75.1
Jaden Hardy,DAL,57,2.3,24.8,0.92,2.1,0.8,1.7,48.5,52.6,9.8,18.2,9.1,1.5,43.9,66.6
Nikola Jokić,DEN,70,1.7,6.8,0.99,1.7,0.6,1.2,48.8,61.0,10.7,19.8,8.3,1.7,43.8,79.5
Trey Murphy III,NOP,53,2.9,15.0,0.76,2.2,0.7,2.2,33.0,40.4,10.9,16.7,10.3,1.3,34.0,29.4
Miles McBride,NYK,64,1.8,19.1,1.01,1.8,0.8,1.6,46.2,53.8,2.6,8.5,1.7,0.0,43.6,84.0
Kelly Oubre Jr.,PHI,60,2.3,15.1,0.87,2.0,0.8,1.8,44.0,45.9,11.9,11.9,11.9,4.4,42.2,53.7
Jonathan Kuminga,GSW,47,3.1,19.4,0.80,2.5,0.9,2.4,39.6,41.0,15.8,9.6,15.1,1.4,42.5,34.1
Dalano Banton,POR,67,2.6,26.5,0.68,1.7,0.6,2.0,31.9,34.8,10.5,12.9,9.9,2.3,32.7,15.1
Malcolm Brogdon,WAS,24,5.5,40.8,0.88,4.8,1.8,4.4,41.0,41.4,13.0,9.2,11.5,2.3,43.5,55.8
Quentin Grimes,PHI,28,5.1,24.2,0.80,4.1,1.4,3.7,38.8,44.7,12.6,18.2,9.1,2.8,36.4,36.5
Ayo Dosunmu,CHI,46,2.3,19.1,1.06,2.4,1.0,1.8,57.8,59.6,7.6,16.2,7.6,2.9,50.5,91.1
Duncan Robinson,MIA,74,1.7,16.5,0.87,1.5,0.5,1.3,41.2,55.7,0.8,22.8,0.8,0.0,32.3,53.4
Zion Williamson,NOP,30,3.6,15.4,1.01,3.6,1.3,2.5,52.6,53.3,22.2,10.2,21.3,2.8,52.8,84.3
Donte DiVincenzo,MIN,62,2.1,17.9,0.84,1.8,0.6,1.6,40.2,52.1,3.9,20.9,3.1,0.0,34.1,48.1
Dennis Schröder,DET,28,4.8,40.2,0.81,3.9,1.3,3.8,34.6,36.9,13.5,7.5,12.0,1.5,39.8,38.0
Talen Horton-Tucker,CHI,58,1.8,28.5,0.99,1.8,0.6,1.4,45.7,48.8,18.7,11.2,18.7,5.6,47.7,79.2
Jordan Hawkins,NOP,56,1.7,14.8,1.02,1.8,0.6,1.5,43.9,52.4,7.2,9.3,7.2,1.0,43.3,85.5
Julius Randle,MIN,69,1.4,7.5,1.02,1.4,0.5,1.0,49.3,59.9,9.4,19.8,8.3,3.1,42.7,85.8
Brice Sensabaugh,UTA,71,1.5,14.7,0.89,1.4,0.5,1.1,43.0,56.3,3.7,24.1,2.8,0.9,34.3,59.3
Dennis Schröder,GSW,24,5.2,39.4,0.76,4.0,1.6,4.2,38.0,41.5,6.4,13.6,3.2,0.0,36.0,28.7
Jimmy Butler III,MIA,25,3.4,23.2,1.11,3.7,1.3,2.5,53.2,53.2,22.6,8.3,19.0,4.8,56.0,95.0
Kyshawn George,WAS,68,1.7,16.9,0.80,1.4,0.5,1.3,39.8,47.7,6.0,19.0,5.2,0.9,34.5,36.2
Nickeil Alexander-Walker,MIN,82,1.7,18.3,0.66,1.1,0.4,1.1,37.4,40.7,9.3,27.9,8.6,2.1,31.4,13.1
Trendon Watford,BKN,44,2.3,20.9,0.88,2.0,0.8,1.6,52.2,52.9,11.8,22.5,9.8,2.0,45.1,57.1
Keon Johnson,BKN,79,1.7,13.7,0.69,1.1,0.5,1.3,37.3,38.7,6.9,18.3,6.1,3.1,32.8,16.9
Malik Beasley,DET,82,1.5,10.5,0.70,1.1,0.4,1.4,28.6,35.7,4.7,8.7,4.7,1.6,28.3,17.8
Jeff Dowtin Jr.,PHI,41,2.0,30.6,1.09,2.1,0.9,1.8,48.6,54.1,7.4,4.9,6.2,3.7,48.1,94.0
Anthony Davis,LAL,42,1.9,8.2,1.09,2.1,0.8,1.5,53.2,54.0,18.5,8.6,16.0,3.7,55.6,94.0
Gary Trent Jr.,MIL,74,1.2,11.8,1.01,1.2,0.5,1.0,47.9,55.6,5.7,12.6,5.7,0.0,44.8,84.6
Evan Mobley,CLE,71,1.6,9.5,0.79,1.2,0.5,1.1,39.5,42.0,16.1,16.1,15.2,4.5,37.5,32.3
Jared McCain,PHI,23,4.3,29.8,0.86,3.7,1.4,3.3,41.6,45.5,9.0,15.0,8.0,1.0,40.0,51.0
Jared Butler,WAS,32,3.0,43.6,0.88,2.6,1.2,2.5,46.8,48.7,8.4,13.7,7.4,5.3,41.1,57.9
Jaime Jaquez Jr.,MIA,66,1.7,17.6,0.77,1.3,0.5,1.1,46.5,47.9,12.8,24.8,12.8,2.8,39.4,30.9
Bogdan Bogdanović,LAC,30,2.8,26.5,0.96,2.7,1.1,2.3,50.0,56.6,3.5,16.5,3.5,0.0,43.5,76.0
Jaden McDaniels,MIN,82,1.0,8.3,1.00,1.0,0.4,0.9,47.3,51.4,4.9,4.9,4.9,1.2,45.7,82.6
Jared Butler,PHI,28,4.4,35.1,0.66,2.9,1.1,2.9,36.6,39.6,8.2,25.4,8.2,0.8,31.1,12.8
Andrew Wiggins,MIA,17,5.1,26.9,0.91,4.6,1.7,3.8,45.3,49.2,14.9,17.2,13.8,5.7,42.5,63.2
K.J. Simpson,CHA,36,3.4,32.0,0.65,2.2,0.9,2.8,30.7,34.7,4.1,13.2,3.3,0.8,28.9,12.5
Brandon Boston,NOP,42,2.5,22.3,0.74,1.9,0.7,2.0,36.1,40.4,6.7,15.2,6.7,1.0,34.3,25.5
OG Anunoby,NYK,74,0.9,5.6,1.12,1.0,0.3,0.7,47.2,54.7,15.9,7.2,15.9,0.0,52.2,95.8
Caris LeVert,CLE,38,2.2,21.7,0.92,2.0,0.7,1.6,45.2,54.0,9.5,16.7,7.1,0.0,41.7,66.6
Jalen Johnson,ATL,36,2.8,14.2,0.76,2.1,0.9,2.0,45.8,48.6,6.0,24.0,6.0,2.0,36.0,28.7
Kyle Kuzma,WAS,32,3.4,19.1,0.70,2.4,0.9,2.4,39.0,41.6,10.1,21.1,7.3,1.8,33.9,17.5
Aaron Holiday,HOU,62,1.2,22.4,1.04,1.2,0.5,0.9,51.9,61.1,6.9,18.1,4.2,0.0,45.8,89.0
Keldon Johnson,SAS,77,0.9,7.8,1.04,1.0,0.4,0.8,48.3,53.4,12.5,6.9,8.3,0.0,50.0,89.0
Jrue Holiday,BOS,62,1.3,12.1,0.90,1.2,0.5,1.1,43.3,50.0,6.0,15.7,4.8,2.4,38.6,62.0
Davion Mitchell,TOR,44,2.3,30.1,0.74,1.7,0.6,1.3,50.9,58.2,7.9,38.6,4.0,1.0,34.7,25.2
Brandon Ingram,NOP,18,5.8,24.7,0.71,4.2,1.7,4.3,39.0,42.9,4.8,21.9,4.8,0.0,33.3,20.2
Rob Dillingham,MIN,49,2.0,35.9,0.76,1.5,0.6,1.5,42.5,50.7,0.0,24.7,0.0,0.0,32.0,29.7
Khris Middleton,MIL,23,3.4,29.2,0.91,3.1,1.2,2.7,43.5,50.8,6.4,15.4,5.1,1.3,39.7,63.8
Tre Mann,CHA,13,6.2,41.8,0.88,5.5,2.2,5.2,42.6,47.1,4.9,12.3,4.9,1.2,39.5,55.5
P.J. Washington,DAL,57,1.7,10.9,0.75,1.2,0.5,1.4,36.3,39.4,5.3,10.5,4.2,0.0,34.7,26.4
Seth Curry,CHA,68,0.9,15.6,1.15,1.0,0.4,0.8,55.8,65.4,1.6,13.1,1.6,0.0,49.2,96.4
Davion Mitchell,MIA,30,2.6,25.7,0.90,2.3,1.0,1.9,50.0,56.9,5.1,21.8,5.1,1.3,41.0,61.1
Cason Wallace,OKC,68,1.2,14.8,0.84,1.0,0.5,1.0,48.6,49.3,2.4,14.5,2.4,1.2,42.2,47.2
Aaron Wiggins,OKC,76,1.2,10.5,0.80,0.9,0.4,0.9,43.9,46.2,6.8,18.2,4.5,0.0,38.6,34.4
Christian Braun,DEN,79,0.8,6.8,1.01,0.9,0.3,0.7,46.4,52.7,7.5,10.4,7.5,1.5,44.8,84.9
Ryan Rollins,MIL,56,1.5,24.3,0.82,1.2,0.5,1.0,46.6,50.9,9.6,25.3,8.4,4.8,37.3,40.4
Tobias Harris,DET,73,1.1,8.4,0.81,0.9,0.4,1.0,38.6,40.0,8.6,7.4,8.6,2.5,39.5,38.6
Scotty Pippen Jr.,MEM,79,1.3,12.6,0.65,0.8,0.3,0.9,34.2,35.6,10.8,22.5,9.8,4.9,29.4,11.9
Josh Hart,NYK,77,0.9,6.5,0.98,0.8,0.3,0.6,54.3,64.1,7.6,25.8,7.6,3.0,42.4,77.7
Jarace Walker,IND,75,1.0,15.8,0.88,0.9,0.3,0.7,41.8,52.7,9.5,17.6,8.1,1.4,36.5,56.4
Jimmy Butler III,GSW,30,2.6,16.0,0.84,2.2,0.5,1.6,34.0,34.0,26.0,14.3,24.7,1.3,45.5,47.8
Tyrese Martin,BKN,60,1.4,15.1,0.77,1.1,0.4,1.0,44.1,46.6,5.9,24.7,5.9,0.0,36.5,30.1
Ajay Mitchell,OKC,36,1.8,27.5,1.00,1.8,0.8,1.3,58.3,58.3,12.7,20.6,12.7,9.5,47.6,82.6
Caris LeVert,ATL,26,2.0,14.4,1.18,2.3,0.7,1.5,45.0,53.8,19.6,5.9,19.6,3.9,51.0,97.3
Alperen Sengun,HOU,76,0.7,3.5,1.11,0.8,0.3,0.5,63.2,64.5,16.7,16.7,13.0,3.7,55.6,95.3
Svi Mykhailiuk,UTA,38,2.0,20.9,0.78,1.6,0.6,1.8,33.3,41.3,2.6,9.1,2.6,1.3,31.2,31.8
Craig Porter Jr.,CLE,51,1.3,33.3,0.92,1.2,0.5,0.9,50.0,57.6,4.7,23.4,3.1,0.0,40.6,67.7
Victor Wembanyama,SAS,46,1.8,7.4,0.73,1.3,0.5,1.3,35.6,43.2,7.4,19.8,7.4,0.0,33.3,22.8
Klay Thompson,DAL,72,1.0,7.2,0.82,0.8,0.4,0.8,43.3,48.3,1.4,15.5,1.4,1.4,36.6,39.5
Collin Gillespie,PHX,33,1.2,22.2,1.39,1.7,0.6,1.0,60.6,75.8,9.8,9.8,9.8,0.0,58.5,99.1
Kyle Kuzma,MIL,33,1.9,12.3,0.91,1.7,0.8,1.5,53.1,54.1,6.3,17.5,6.3,1.6,46.0,62.6
Tristan da Silva,ORL,74,0.9,11.7,0.86,0.8,0.3,0.7,39.6,46.2,6.1,13.6,6.1,0.0,37.9,52.2
Justin Edwards,PHI,44,1.1,10.7,1.17,1.3,0.5,0.8,62.2,67.6,8.3,14.6,8.3,0.0,56.3,97.0
Aaron Gordon,DEN,51,1.1,8.3,1.02,1.1,0.3,0.9,36.4,44.3,20.4,3.7,20.4,5.6,42.6,85.2
De'Andre Hunter,ATL,37,1.5,8.9,0.98,1.5,0.6,1.4,44.2,51.9,1.8,5.4,1.8,0.0,42.9,77.4
De'Aaron Fox,SAS,17,4.8,23.3,0.66,3.2,1.3,3.6,36.1,37.7,7.3,19.5,6.1,1.2,31.7,13.4
Brandon Williams,DAL,33,1.9,24.3,0.85,1.6,0.5,1.3,41.9,45.3,14.5,16.1,11.3,0.0,41.9,49.6
Gabe Vincent,LAL,72,1.0,15.9,0.71,0.7,0.3,0.9,32.8,39.1,4.0,12.0,2.7,1.3,30.7,18.4
Lonzo Ball,CHI,35,1.5,18.3,0.96,1.5,0.5,1.1,48.7,61.5,3.7,24.1,3.7,0.0,38.9,75.4
Jerami Grant,POR,47,1.3,8.6,0.85,1.1,0.4,0.9,45.5,46.6,13.1,16.4,11.5,1.6,44.3,49.3
Patrick Williams,CHI,63,1.1,11.1,0.73,0.8,0.3,0.9,31.0,40.5,7.0,14.1,7.0,2.8,29.6,23.4
AJ Johnson,WAS,22,2.8,25.7,0.82,2.3,0.9,2.2,38.8,42.9,8.1,12.9,6.5,0.0,38.7,40.9
Luke Kennard,MEM,65,1.0,12.3,0.80,0.8,0.4,0.7,47.9,51.0,1.6,23.4,1.6,0.0,37.5,34.7
Monté Morris,PHX,45,1.4,27.0,0.78,1.1,0.5,1.2,40.4,42.3,6.3,14.1,6.3,1.6,37.5,32.0
Jalen Pickett,DEN,49,0.8,19.9,1.20,1.0,0.4,0.7,55.6,68.1,0.0,12.2,0.0,0.0,48.8,98.2
Michael Porter Jr.,DEN,77,0.7,4.4,0.89,0.6,0.3,0.6,44.4,54.4,0.0,18.2,0.0,0.0,36.4,60.2
Kentavious Caldwell-Pope,ORL,77,0.8,9.5,0.82,0.6,0.3,0.6,44.7,46.8,3.3,18.3,1.7,0.0,38.3,39.2
Gradey Dick,TOR,54,1.3,8.6,0.71,0.9,0.3,1.0,34.0,36.8,7.2,15.9,5.8,0.0,33.3,19.3
Buddy Hield,GSW,82,0.7,6.0,0.89,0.6,0.2,0.5,37.8,48.9,3.7,13.0,1.9,0.0,35.2,59.3
Julian Strawther,DEN,65,0.9,10.4,0.79,0.7,0.3,0.7,37.5,41.7,9.8,13.1,8.2,1.6,37.7,32.6
Cam Whitmore,HOU,51,1.3,13.8,0.72,0.9,0.3,1.0,32.1,38.7,4.5,16.4,4.5,0.0,29.9,21.7
Bones Hyland,LAC,20,2.3,30.9,1.02,2.4,0.7,1.9,37.8,55.4,6.5,13.0,4.3,0.0,37.0,86.1
Vít Krejčí,ATL,57,0.9,13.5,0.96,0.8,0.3,0.7,47.5,57.5,2.0,18.4,2.0,2.0,38.8,74.8
Ja'Kobe Walter,TOR,52,1.2,13.4,0.73,0.9,0.4,1.0,37.3,39.2,7.8,14.1,6.3,1.6,35.9,23.7
Reed Sheppard,HOU,52,1.3,23.7,0.70,0.9,0.3,1.0,34.6,40.4,4.5,17.9,4.5,0.0,31.3,18.1
Johnny Juzang,UTA,64,0.7,8.3,1.04,0.7,0.3,0.6,48.7,59.0,0.0,11.4,0.0,0.0,43.2,89.9
